ID,PHASE_climbing_ABOVE-FL100_DUR,PHASE_cruising_DUR,PHASE_descending_ABOVE-FL100_DUR,lat_median_climbing_ABOVE-FL100,lat_iqr_climbing_ABOVE-FL100,lon_median_climbing_ABOVE-FL100,lon_iqr_climbing_ABOVE-FL100,h_median_climbing_ABOVE-FL100,h_iqr_climbing_ABOVE-FL100,vdot_median_climbing_ABOVE-FL100,vdot_iqr_climbing_ABOVE-FL100,hdot_median_climbing_ABOVE-FL100,hdot_iqr_climbing_ABOVE-FL100,tempr_median_climbing_ABOVE-FL100,tempr_iqr_climbing_ABOVE-FL100,vwind_median_climbing_ABOVE-FL100,vwind_iqr_climbing_ABOVE-FL100,uwind_median_climbing_ABOVE-FL100,uwind_iqr_climbing_ABOVE-FL100,lat_median_cruising,lat_iqr_cruising,lon_median_cruising,lon_iqr_cruising,h_median_cruising,h_iqr_cruising,vdot_median_cruising,vdot_iqr_cruising,hdot_median_cruising,hdot_iqr_cruising,tempr_median_cruising,tempr_iqr_cruising,vwind_median_cruising,vwind_iqr_cruising,uwind_median_cruising,uwind_iqr_cruising,lat_median_descending_ABOVE-FL100,lat_iqr_descending_ABOVE-FL100,lon_median_descending_ABOVE-FL100,lon_iqr_descending_ABOVE-FL100,h_median_descending_ABOVE-FL100,h_iqr_descending_ABOVE-FL100,vdot_median_descending_ABOVE-FL100,vdot_iqr_descending_ABOVE-FL100,hdot_median_descending_ABOVE-FL100,hdot_iqr_descending_ABOVE-FL100,tempr_median_descending_ABOVE-FL100,tempr_iqr_descending_ABOVE-FL100,vwind_median_descending_ABOVE-FL100,vwind_iqr_descending_ABOVE-FL100,uwind_median_descending_ABOVE-FL100,uwind_iqr_descending_ABOVE-FL100
20180416_407400,1160,7020,2380,48.813896,0.3810558319091797,4.0603333,1.530273199081421,26993.605,11931.2900390625,0.9874584,4.64711794257164,-0.054841485,0.39921002462506294,-41.837387,21.715423583984375,1.1567383,11.55181884765625,11.652054,4.022407531738281,45.839546,3.0602359771728516,15.999361,9.566233158111572,39909.324,1128.083984375,0.121951215,0.5373550355434418,-0.054841485,0.39921002462506294,-56.50801,7.02392578125,18.281342,25.738815307617188,-1.033783,12.424285888671875,41.3838,0.8250179290771484,27.586983,1.7091865539550781,11928.045,15786.95849609375,-0.037337456,2.1409737020730972,-0.054841485,0.39921002462506294,0.5827942,36.049835205078125,3.844986,8.219810485839844,-1.8033752,1.5891265869140625
20180819_727692,1200,8040,1700,48.829353,0.38181495666503906,4.025598,1.602732002735138,24656.02,9853.47119140625,0.4058845,2.4186470359563828,-0.03926419,0.22425388148985803,-20.587036,23.73736572265625,-0.2250824,3.272533416748047,2.678543,4.1846923828125,45.593307,3.186905860900879,16.811424,10.593102931976318,30582.92,4416.25439453125,-0.027631406,0.03233631420880556,-0.03926419,0.22425388148985803,-40.01239,9.251312255859375,-1.280304,4.96728515625,-4.262848,9.050090789794922,41.222816,0.3103675842285156,28.024649,0.9754676818847656,11986.908,470.630859375,-0.086129755,2.4970122575759888,-0.03926419,0.22425388148985803,2.9684448,1.2421875,-4.127228,1.734375,-4.4922028,1.099609375
20181210_363735,1000,7520,2460,48.819286,0.24872398376464844,3.5887933,1.2452651262283325,24348.393,10052.0986328125,1.2737811,7.2417327761650085,-0.029276416,0.23818954406306148,-32.2632,29.051910400390625,-40.199585,12.39801025390625,16.729156,3.95098876953125,45.549995,3.574307441711426,16.210388,11.104910850524902,35727.516,439.236328125,-0.04028618,0.9718713089823723,-0.029276416,0.23818954406306148,-48.82495,2.7347259521484375,-12.215149,26.717041015625,11.065567,4.765625,41.107964,0.4170379638671875,27.445084,1.9584331512451172,12514.54,10102.6708984375,-0.09193402,4.083985894918442,-0.029276416,0.23818954406306148,-11.210724,24.58094024658203,4.2001953,4.758392333984375,-4.506241,5.3150787353515625
20180118_390992,480,6880,2140,48.80451,0.02175426483154297,2.5464206,0.6369738578796387,18956.73,7188.22802734375,0.20533216,7.556044667959213,-0.26249674,0.274369478225708,-22.833298,11.809913635253906,-6.1338043,3.1600570678710938,41.321396,5.837566375732422,46.30632,3.108309745788574,14.736597,11.496113300323486,37327.47,1206.66015625,0.09531359,0.9974708631634712,-0.26249674,0.274369478225708,-58.555984,4.0225372314453125,-22.519394,26.26251220703125,53.230072,24.15371322631836,41.317352,0.7040824890136719,27.667595,1.4617881774902344,12077.281,12521.20263671875,-0.08184766,3.098824590444565,-0.26249674,0.274369478225708,-17.117157,26.448455810546875,-20.83406,5.822265625,9.725342,1.7479248046875
20181211_391843,1020,7720,1340,48.748123,0.24661636352539062,4.026329,1.2343980073928833,22593.693,9364.84765625,0.44132587,2.944768726825714,-0.047514074,0.17625061416765675,-30.30658,19.018173217773438,-20.933304,4.841766357421875,9.4279785,6.523223876953125,45.43734,3.477297782897949,16.507761,10.802022218704224,34743.84,455.8017578125,0.10755454,0.6773220300674438,-0.047514074,0.17625061416765675,-46.929626,5.3154144287109375,-17.013718,30.196762084960938,10.843658,4.5644378662109375,41.226322,0.3878059387207031,27.936888,1.2142601013183594,17026.418,636.6064453125,-0.6379678,2.56071874499321,-0.047514074,0.17625061416765675,-24.21939,6.3597412109375,4.807068,1.6494140625,10.550735,1.0163650512695312
20180115_310573,920,7100,2340,48.790348,0.2217578887939453,3.5943851,1.2690677642822266,23774.594,9917.892578125,0.71806693,5.734822392463684,-0.027187143,0.34607603307813406,-31.479584,19.817642211914062,-9.240494,2.9699783325195312,12.333412,2.79058837890625,46.777706,2.2909011840820312,15.978712,10.989225387573242,35954.13,849.13671875,-0.006913071,1.4845235347747803,-0.027187143,0.34607603307813406,-53.738342,1.630859375,-14.124939,16.03515625,6.418518,13.1771240234375,41.3918,0.8925704956054688,27.573933,1.7049217224121094,12135.018,17581.0810546875,-0.070217356,2.043845195323229,-0.027187143,0.34607603307813406,-15.937561,37.59587097167969,-2.2870026,4.9951171875,11.850327,15.79290771484375
20180422_603402,1200,6920,2360,48.88515,0.3523979187011719,4.1529627,1.7419126629829407,23694.273,8268.03271484375,0.45762384,4.098616003990173,-0.032696158,0.5831501707434654,-30.068436,23.601455688476562,10.281845,3.2772216796875,16.647133,1.3524169921875,47.117584,2.9825353622436523,16.571587,9.991876363754272,35747.336,386.65625,-0.07608795,1.2229009717702866,-0.032696158,0.5831501707434654,-58.995193,0.93115234375,-5.0890045,12.620269775390625,13.541885,2.39697265625,41.362537,0.8704700469970703,27.56847,1.6623950004577637,12156.332,14797.88720703125,-0.11576712,1.3741864282637835,-0.032696158,0.5831501707434654,-2.457428,33.5291748046875,-6.141266,2.285308837890625,6.794235,2.6068267822265625
20180118_393120,1020,6320,2000,48.802753,0.2808036804199219,3.6868525,1.5085965394973755,24955.562,10758.1220703125,1.0397732,8.130436778068542,-0.13218689,0.4186912924051285,-34.328842,21.523956298828125,-6.5306854,3.2578659057617188,47.676132,12.707626342773438,45.974487,3.116239547729492,16.023016,10.35496997833252,37168.195,867.0166015625,-0.011105383,0.9833834245800972,-0.13218689,0.4186912924051285,-59.562546,2.391277313232422,-22.236313,27.58441162109375,53.804245,14.863372802734375,41.258278,0.5491714477539062,27.79544,1.271188735961914,11939.441,6454.826171875,-0.15463507,2.9410075023770332,-0.13218689,0.4186912924051285,-17.639648,13.775177001953125,-17.12642,3.44140625,8.232468,1.48046875
20181215_486101,1020,6960,2120,48.842598,0.37873077392578125,4.360495,1.3842531442642212,25549.98,9794.9892578125,0.48645383,2.46386456489563,-0.0427054,0.4341046888148412,-40.493225,22.0782470703125,-29.515472,8.730865478515625,17.461823,4.724334716796875,45.749077,3.0037364959716797,16.180218,9.93392276763916,36108.188,614.9873046875,0.011682262,1.195511519908905,-0.0427054,0.4341046888148412,-55.344177,8.31591796875,3.439621,22.41436767578125,18.12793,4.428375244140625,41.280586,0.6106910705566406,27.75095,1.380347728729248,12108.212,9275.8232421875,-0.16641,2.4708217326551676,-0.0427054,0.4341046888148412,-8.7659,18.729400634765625,8.21077,0.90234375,13.702805,3.50872802734375
20181210_363396,980,8140,1620,48.780804,0.2829704284667969,3.5465505,1.2145683765411377,24079.436,9884.869140625,0.22133337,4.938709530979395,-0.04278957,0.3020785516127944,-32.68431,29.5179443359375,-40.537003,13.42291259765625,20.19165,3.5057373046875,43.773064,4.97723388671875,15.654419,10.992190837860107,35718.45,3711.708984375,0.08243787,0.693110316991806,-0.04278957,0.3020785516127944,-48.672516,4.2522735595703125,-15.641388,25.579833984375,14.060806,3.7235870361328125,40.982075,0.14664077758789062,28.07146,0.9812679290771484,12281.338,461.5478515625,-0.94171685,2.8683576434850693,-0.04278957,0.3020785516127944,-10.893524,0.3671875,4.090439,3.615234375,-4.8609924,1.6796875
